-17936,92,144,-623,-3,-3,259,-96,-15,23
-17920,93,144,-623,-2,-4,259,-93,-15,25
-17824,91,146,-622,-2,-1,258,-97,-14,23
-18000,92,144,-623,-3,-1,262,-95,-16,21
-17968,92,145,-624,-4,-2,259,-94,-13,22
-17840,93,144,-624,-3,-6,259,-95,-11,22
-17968,94,146,-622,0,-6,262,-95,-13,22
-18048,93,143,-623,5,-12,255,-95,-8,25
-17936,92,143,-623,-7,-7,264,-95,-15,23
-17856,92,145,-623,-2,-6,261,-93,-10,27
-17872,93,144,-623,-3,2,263,-95,-13,24
-17888,92,145,-622,-1,1,260,-96,-11,18
-17952,91,145,-622,-1,1,261,-95,-14,22
-17968,92,144,-624,0,-4,261,-94,-12,21
-17936,92,144,-622,-2,-1,263,-96,-14,21
-17872,92,143,-623,-1,-4,260,-97,-14,25
-17920,92,145,-623,-2,-3,262,-95,-16,20
-17840,91,143,-624,2,-6,259,-94,-14,25
-17952,93,145,-622,-1,-5,258,-97,-11,19
-17968,92,145,-623,-2,-1,260,-98,-15,21
-18016,92,144,-623,-1,-5,263,-95,-15,20
-17904,91,145,-622,-1,-7,262,-93,-12,20
-17840,94,144,-623,0,-5,262,-96,-14,19
-17920,92,143,-622,0,-6,261,-96,-12,24
-17936,92,144,-622,-1,-4,262,-93,-8,26
-17936,93,145,-622,1,-5,261,-95,-12,21
-17856,91,145,-623,-1,-6,261,-95,-12,22
-17936,93,145,-622,-3,-1,260,-94,-16,24
-17936,92,146,-622,2,-1,261,-93,-16,19
-17872,91,143,-623,-1,0,268,-93,-17,23
-17840,92,144,-624,-2,-3,258,-97,-14,21
-17968,91,144,-623,4,-10,261,-94,-15,23
-17904,92,144,-622,-1,0,263,-96,-12,24
-18128,92,144,-622,0,-3,262,-94,-10,24
-18000,92,144,-622,-3,-3,257,-97,-14,21
-17936,91,145,-623,-1,-2,263,-94,-13,18
-17968,93,144,-623,0,-7,263,-97,-11,23
-17856,90,146,-623,-1,-6,263,-92,-14,24
-17936,93,144,-623,-1,-1,259,-98,-12,23
-17936,92,145,-622,-3,-4,261,-95,-14,21
-17936,93,145,-624,-3,-3,259,-90,-13,21
-17968,92,145,-623,1,-5,262,-96,-16,22
-17920,91,144,-622,1,-6,258,-96,-12,19
-17904,92,144,-622,0,-4,261,-96,-18,24
-17936,91,144,-622,0,-2,262,-95,-14,22
-17936,92,144,-622,3,-1,263,-99,-14,27
-17984,92,145,-623,0,7,264,-96,-14,24
-18096,91,143,-622,0,-6,263,-98,-11,24
-17936,92,145,-622,0,-5,262,-96,-13,23
-17968,92,144,-623,3,-3,260,-96,-11,24
-17936,91,143,-623,2,0,261,-93,-15,24
-17856,92,146,-622,-3,-2,256,-96,-11,22
-17872,92,145,-623,-1,-5,261,-98,-13,18
-17952,90,144,-623,0,-4,263,-95,-15,26
-18032,90,144,-622,-2,-3,262,-99,-17,19
-17952,91,146,-623,-4,-1,262,-97,-13,24
-17968,92,144,-623,2,-4,264,-95,-12,23
-17904,92,144,-621,2,-4,264,-96,-15,23
-17824,92,146,-622,0,-1,260,-94,-13,22
-17840,92,145,-624,2,-2,262,-95,-13,27
-17952,92,144,-623,-3,-4,261,-93,-11,20
-17776,93,144,-623,-1,-5,261,-98,-14,23
-17920,92,144,-623,-1,-3,259,-95,-14,20
-17952,92,144,-622,-1,-1,260,-95,-12,25
-17936,92,146,-623,-2,-1,262,-93,-13,23
-17904,93,144,-623,-1,-1,261,-91,-15,19
